Siruta,Localitate,Votanti_LP,Barbati_25-34,Barbati_35-44,Barbati_45-64,Barbati_65_,Femei_18-24,Femei_35-44,Femei_45-64,Femei_65_
9397,Vladimirescu,112000,1947.3,1947.3,6491,6491,25964,1298.2,1947.3,6491
9459,Oras Chisineu-Cris,113000,1265.55,1265.55,4218.5,4218.5,16874,843.7,1265.55,4218.5
9495,Oras Curtici,114000,1307.4,1307.4,4358,4358,17432,871.6,1307.4,4358
9538,Oras Ineu,115000,1437.15,1437.15,4790.5,4790.5,19162,958.1,1437.15,4790.5
9574,Oras Lipova,116000,1709.4,1709.4,5698,5698,22792,1139.6,1709.4,5698
9627,Oras Nadlac,117000,1200.3,1200.3,4001,4001,16004,800.2,1200.3,4001
9654,Oras Pancota,118000,1218.9,1218.9,4063,4063,16252,812.6,1218.9,4063
9690,Oras Sebis,119000,966.75,966.75,3222.5,3222.5,12890,644.5,966.75,3222.5
9743,Almas,120000,393.75,393.75,1312.5,1312.5,5250,262.5,393.75,1312.5
9798,Apateu,121000,514.65,514.65,1715.5,1715.5,6862,343.1,514.65,1715.5
9832,Archis,122000,231.75,231.75,772.5,772.5,3090,154.5,231.75,772.5
9887,Bata,123000,158.85,158.85,529.5,529.5,2118,105.9,158.85,529.5
9930,Beliu,124000,453.75,453.75,1512.5,1512.5,6050,302.5,453.75,1512.5
10006,Birchis,125000,283.35,283.35,944.5,944.5,3778,188.9,283.35,944.5
10051,Barsa,126000,275.1,275.1,917,917,3668,183.4,275.1,917
10104,Barzava,127000,381.45,381.45,1271.5,1271.5,5086,254.3,381.45,1271.5
10195,Bocsig,128000,509.4,509.4,1698,1698,6792,339.6,509.4,1698
10239,Brazii,129000,183.9,183.9,613,613,2452,122.6,183.9,613
10293,Buteni,130000,511.05,511.05,1703.5,1703.5,6814,340.7,511.05,1703.5
10346,Carand,131000,174,174,580,580,2320,116,174,580
10373,Cermei,132000,411,411,1370,1370,5480,274,411,1370
10417,Chisindia,133000,197.55,197.55,658.5,658.5,2634,131.7,197.55,658.5
10453,Conop,134000,342,342,1140,1140,4560,228,342,1140
10514,Covasint,135000,408.15,408.15,1360.5,1360.5,5442,272.1,408.15,1360.5
10532,Craiva,136000,434.55,434.55,1448.5,1448.5,5794,289.7,434.55,1448.5
10649,Dezna,137000,180.9,180.9,603,603,2412,120.6,180.9,603
10701,Dieci,138000,223.5,223.5,745,745,2980,149,223.5,745
10765,Ususau,139000,213,213,710,710,2840,142,213,710
10827,Felnac,140000,471.45,471.45,1571.5,1571.5,6286,314.3,471.45,1571.5
10872,Ghioroc,141000,612.6,612.6,2042,2042,8168,408.4,612.6,2042
10916,Graniceri,142000,381.75,381.75,1272.5,1272.5,5090,254.5,381.75,1272.5
10943,Gurahont,143000,585,585,1950,1950,7800,390,585,1950
11058,Halmagiu,144000,414.9,414.9,1383,1383,5532,276.6,414.9,1383
11174,Halmagel,145000,183.9,183.9,613,613,2452,122.6,183.9,613
11236,Hasmas,146000,190.35,190.35,634.5,634.5,2538,126.9,190.35,634.5
11307,Ignesti,147000,108.15,108.15,360.5,360.5,1442,72.1,108.15,360.5
11352,Iratosu,148000,383.55,383.55,1278.5,1278.5,5114,255.7,383.55,1278.5
11398,Macea,149000,1074.9,1074.9,3583,3583,14332,716.6,1074.9,3583
11423,Misca,150000,568.05,568.05,1893.5,1893.5,7574,378.7,568.05,1893.5
11478,Moneasa,151000,138,138,460,460,1840,92,138,460
11502,Olari,152000,300.9,300.9,1003,1003,4012,200.6,300.9,1003
11539,Paulis,153000,651,651,2170,2170,8680,434,651,2170
11584,Oras Pecica,154000,2118.6,2118.6,7062,7062,28248,1412.4,2118.6,7062
11637,Peregu Mare,155000,271.05,271.05,903.5,903.5,3614,180.7,271.05,903.5
11664,Petris,156000,207.3,207.3,691,691,2764,138.2,207.3,691
11735,Pilu,157000,327.45,327.45,1091.5,1091.5,4366,218.3,327.45,1091.5
11762,Plescuta,158000,174.15,174.15,580.5,580.5,2322,116.1,174.15,580.5
11842,Savarsin,159000,438.75,438.75,1462.5,1462.5,5850,292.5,438.75,1462.5
11940,Secusigiu,160000,932.4,932.4,3108,3108,12432,621.6,932.4,3108
11995,Seleus,161000,448.05,448.05,1493.5,1493.5,5974,298.7,448.05,1493.5
12037,Semlac,162000,635.4,635.4,2118,2118,8472,423.6,635.4,2118
12055,Sintea Mare,163000,576.6,576.6,1922,1922,7688,384.4,576.6,1922
12091,Oras Santana,164000,2345.4,2345.4,7818,7818,31272,1563.6,2345.4,7818
12126,Socodor,165000,341.55,341.55,1138.5,1138.5,4554,227.7,341.55,1138.5
12144,Sagu,166000,623.85,623.85,2079.5,2079.5,8318,415.9,623.85,2079.5
12206,Seitin,167000,463.65,463.65,1545.5,1545.5,6182,309.1,463.65,1545.5
12224,Sepreus,168000,436.05,436.05,1453.5,1453.5,5814,290.7,436.05,1453.5
12242,Sicula,169000,641.55,641.55,2138.5,2138.5,8554,427.7,641.55,2138.5
12288,Silindia,170000,131.25,131.25,437.5,437.5,1750,87.5,131.25,437.5
12340,Simand,171000,664.95,664.95,2216.5,2216.5,8866,443.3,664.95,2216.5
12368,Siria,172000,1362.45,1362.45,4541.5,4541.5,18166,908.3,1362.45,4541.5
12402,Sistarovat,173000,47.85,47.85,159.5,159.5,638,31.9,47.85,159.5
12457,Taut,174000,249.75,249.75,832.5,832.5,3330,166.5,249.75,832.5
12509,Tarnova,175000,930.45,930.45,3101.5,3101.5,12406,620.3,930.45,3101.5
12572,Varadia De Mures,176000,252.75,252.75,842.5,842.5,3370,168.5,252.75,842.5
12643,Vinga,177000,1029.9,1029.9,3433,3433,13732,686.6,1029.9,3433
12689,Varfurile,178000,402.15,402.15,1340.5,1340.5,5362,268.1,402.15,1340.5
12778,Zabrani,179000,691.05,691.05,2303.5,2303.5,9214,460.7,691.05,2303.5
12812,Zarand,180000,411.75,411.75,1372.5,1372.5,5490,274.5,411.75,1372.5
12849,Zerind,181000,216.45,216.45,721.5,721.5,2886,144.3,216.45,721.5
12876,Zimandu Nou,182000,735,735,2450,2450,9800,490,735,2450
12912,Dorobanti,183000,241.35,241.35,804.5,804.5,3218,160.9,241.35,804.5
12920,Frumuseni,184000,414.75,414.75,1382.5,1382.5,5530,276.5,414.75,1382.5
12938,Zadareni,185000,425.7,425.7,1419,1419,5676,283.8,425.7,1419
13169,Municipiul Pitesti,186000,26520.45,26520.45,88401.5,88401.5,353606,17680.3,26520.45,88401.5
13187,Bascov,187000,1578.45,1578.45,5261.5,5261.5,21046,1052.3,1578.45,5261.5
13276,Bradu,188000,1157.1,1157.1,3857,3857,15428,771.4,1157.1,3857
13301,Oras Mioveni,189000,5183.85,5183.85,17279.5,17279.5,69118,3455.9,5183.85,17279.5
13365,Maracineni,190000,787.5,787.5,2625,2625,10500,525,787.5,2625
13392,Oras Stefanesti,191000,2285.7,2285.7,7619,7619,30476,1523.8,2285.7,7619
13490,Municipiul Campulung,192000,5543.25,5543.25,18477.5,18477.5,73910,3695.5,5543.25,18477.5
13524,Valea Mare Pravat,193000,641.7,641.7,2139,2139,8556,427.8,641.7,2139
13622,Municipiul Curtea De Arges,194000,5015.85,5015.85,16719.5,16719.5,66878,3343.9,5015.85,16719.5
13668,Oras Costesti,195000,1596.3,1596.3,5321,5321,21284,1064.2,1596.3,5321
13757,Oras Topoloveni,196000,1415.85,1415.85,4719.5,4719.5,18878,943.9,1415.85,4719.5
13819,Albestii De Arges,197000,908.55,908.55,3028.5,3028.5,12114,605.7,908.55,3028.5
13891,Albestii De Muscel,198000,236.1,236.1,787,787,3148,157.4,236.1,787
13935,Albota,199000,589.35,589.35,1964.5,1964.5,7858,392.9,589.35,1964.5
13999,Aninoasa,200000,502.5,502.5,1675,1675,6700,335,502.5,1675
14049,Arefu,201000,369.6,369.6,1232,1232,4928,246.4,369.6,1232
14085,Babana,202000,434.85,434.85,1449.5,1449.5,5798,289.9,434.85,1449.5
14165,Baiculesti,203000,916.5,916.5,3055,3055,12220,611,916.5,3055
14272,Balilesti,204000,610.95,610.95,2036.5,2036.5,8146,407.3,610.95,2036.5
14352,Beleti-Negresti,205000,281.7,281.7,939,939,3756,187.8,281.7,939
14405,Berevoesti,206000,526.35,526.35,1754.5,1754.5,7018,350.9,526.35,1754.5
14450,Barla,207000,694.35,694.35,2314.5,2314.5,9258,462.9,694.35,2314.5
14584,Bogati,208000,674.85,674.85,2249.5,2249.5,8998,449.9,674.85,2249.5
14673,Boteni,209000,364.35,364.35,1214.5,1214.5,4858,242.9,364.35,1214.5
14726,Botesti,210000,170.1,170.1,567,567,2268,113.4,170.1,567
14753,Bradulet,211000,272.4,272.4,908,908,3632,181.6,272.4,908
14851,Budeasa,212000,619.2,619.2,2064,2064,8256,412.8,619.2,2064
14922,Bughea De Jos,213000,462.45,462.45,1541.5,1541.5,6166,308.3,462.45,1541.5
14940,Buzoesti,214000,848.25,848.25,2827.5,2827.5,11310,565.5,848.25,2827.5
15064,Caldararu,215000,355.05,355.05,1183.5,1183.5,4734,236.7,355.05,1183.5
15108,Calinesti,216000,1673.85,1673.85,5579.5,5579.5,22318,1115.9,1673.85,5579.5
15233,Cateasca,217000,558.45,558.45,1861.5,1861.5,7446,372.3,558.45,1861.5
15313,Cepari,218000,335.4,335.4,1118,1118,4472,223.6,335.4,1118
15402,Cetateni,219000,451.2,451.2,1504,1504,6016,300.8,451.2,1504
15448,Cicanesti,220000,315.6,315.6,1052,1052,4208,210.4,315.6,1052
15493,Ciofrangeni,221000,352.35,352.35,1174.5,1174.5,4698,234.9,352.35,1174.5
15554,Ciomagesti,222000,172.05,172.05,573.5,573.5,2294,114.7,172.05,573.5
15652,Cocu,223000,347.85,347.85,1159.5,1159.5,4638,231.9,347.85,1159.5
15741,Corbeni,224000,882,882,2940,2940,11760,588,882,2940
15830,Corbi,225000,614.25,614.25,2047.5,2047.5,8190,409.5,614.25,2047.5
15901,Cosesti,226000,792.45,792.45,2641.5,2641.5,10566,528.3,792.45,2641.5
15983,Cotmeana,227000,286.5,286.5,955,955,3820,191,286.5,955
16132,Cuca,228000,315.3,315.3,1051,1051,4204,210.2,315.3,1051
16285,Davidesti,229000,466.5,466.5,1555,1555,6220,311,466.5,1555
16329,Dambovicioara,230000,138.75,138.75,462.5,462.5,1850,92.5,138.75,462.5
16365,Darmanesti,231000,532.8,532.8,1776,1776,7104,355.2,532.8,1776
16427,Dobresti,232000,267.45,267.45,891.5,891.5,3566,178.3,267.45,891.5
16454,Domnesti,233000,473.4,473.4,1578,1578,6312,315.6,473.4,1578
16472,Dragoslavele,234000,394.2,394.2,1314,1314,5256,262.8,394.2,1314
16506,Draganu,235000,293.25,293.25,977.5,977.5,3910,195.5,293.25,977.5
16551,Godeni,236000,450.6,450.6,1502,1502,6008,300.4,450.6,1502
16613,Harsesti,237000,342.9,342.9,1143,1143,4572,228.6,342.9,1143
16659,Hartiesti,238000,343.5,343.5,1145,1145,4580,229,343.5,1145
16739,Izvoru,239000,329.85,329.85,1099.5,1099.5,4398,219.9,329.85,1099.5
16757,Leordeni,240000,856.05,856.05,2853.5,2853.5,11414,570.7,856.05,2853.5
16908,Leresti,241000,696,696,2320,2320,9280,464,696,2320
16944,Lunca Corbului,242000,405.3,405.3,1351,1351,5404,270.2,405.3,1351
17049,Malureni,243000,702.9,702.9,2343,2343,9372,468.6,702.9,2343
17101,Merisani,244000,696.45,696.45,2321.5,2321.5,9286,464.3,696.45,2321.5
17209,Micesti,245000,693.6,693.6,2312,2312,9248,462.4,693.6,2312
17254,Mihaesti,246000,918.9,918.9,3063,3063,12252,612.6,918.9,3063
17334,Mioarele,247000,240.15,240.15,800.5,800.5,3202,160.1,240.15,800.5
17398,Mirosi,248000,355.2,355.2,1184,1184,4736,236.8,355.2,1184
17423,Moraresti,249000,278.55,278.55,928.5,928.5,3714,185.7,278.55,928.5
17496,Mosoaia,250000,856.35,856.35,2854.5,2854.5,11418,570.9,856.35,2854.5
17575,Mozaceni,251000,321.3,321.3,1071,1071,4284,214.2,321.3,1071
17619,Musatesti,252000,552.6,552.6,1842,1842,7368,368.4,552.6,1842
17726,Negrasi,253000,307.05,307.05,1023.5,1023.5,4094,204.7,307.05,1023.5
17771,Nucsoara,254000,216.9,216.9,723,723,2892,144.6,216.9,723
17824,Oarja,255000,425.25,425.25,1417.5,1417.5,5670,283.5,425.25,1417.5
17851,Pietrosani,256000,850.5,850.5,2835,2835,11340,567,850.5,2835
17913,Poienarii De Arges,257000,149.85,149.85,499.5,499.5,1998,99.9,149.85,499.5
17968,Poienarii De Muscel,258000,511.65,511.65,1705.5,1705.5,6822,341.1,511.65,1705.5
18028,Poiana Lacului,259000,977.25,977.25,3257.5,3257.5,13030,651.5,977.25,3257.5
18162,Popesti,260000,302.1,302.1,1007,1007,4028,201.4,302.1,1007
18242,Priboieni,261000,529.8,529.8,1766,1766,7064,353.2,529.8,1766
18331,Ratesti,262000,459.6,459.6,1532,1532,6128,306.4,459.6,1532
18411,Recea,263000,415.35,415.35,1384.5,1384.5,5538,276.9,415.35,1384.5
18475,Rociu,264000,375.6,375.6,1252,1252,5008,250.4,375.6,1252
18527,Rucar,265000,907.2,907.2,3024,3024,12096,604.8,907.2,3024
18554,Salatrucu,266000,334.05,334.05,1113.5,1113.5,4454,222.7,334.05,1113.5
18581,Sapata,267000,243.9,243.9,813,813,3252,162.6,243.9,813
18670,Schitu Golesti,268000,761.25,761.25,2537.5,2537.5,10150,507.5,761.25,2537.5
18741,Slobozia,269000,715.95,715.95,2386.5,2386.5,9546,477.3,715.95,2386.5
18778,Stalpeni,270000,753.6,753.6,2512,2512,10048,502.4,753.6,2512
18858,Stoenesti,271000,687,687,2290,2290,9160,458,687,2290
18938,Stolnici,272000,459.9,459.9,1533,1533,6132,306.6,459.9,1533
19007,Suseni,273000,460.05,460.05,1533.5,1533.5,6134,306.7,460.05,1533.5
19114,Stefan Cel Mare,274000,354.75,354.75,1182.5,1182.5,4730,236.5,354.75,1182.5
19141,Suici,275000,367.65,367.65,1225.5,1225.5,4902,245.1,367.65,1225.5
19212,Teiu,276000,203.55,203.55,678.5,678.5,2714,135.7,203.55,678.5
19249,Tigveni,277000,524.25,524.25,1747.5,1747.5,6990,349.5,524.25,1747.5
19338,Titesti,278000,769.35,769.35,2564.5,2564.5,10258,512.9,769.35,2564.5
19392,Uda,279000,294,294,980,980,3920,196,294,980
19560,Ungheni,280000,420,420,1400,1400,5600,280,420,1400
19631,Valea Danului,281000,453,453,1510,1510,6040,302,453,1510
19695,Valea Iasului,282000,415.35,415.35,1384.5,1384.5,5538,276.9,415.35,1384.5
19793,Vedea,283000,541.8,541.8,1806,1806,7224,361.2,541.8,1806
19999,Vladesti,284000,483.45,483.45,1611.5,1611.5,6446,322.3,483.45,1611.5
20048,Raca,285000,169.2,169.2,564,564,2256,112.8,169.2,564
20055,Vulturesti,286000,421.8,421.8,1406,1406,5624,281.2,421.8,1406
20063,Bughea De Sus,287000,450.3,450.3,1501,1501,6004,300.2,450.3,1501
20297,Municipiul Bacau,288000,29604.3,29604.3,98681,98681,394724,19736.2,29604.3,98681
20313,Hemeius,289000,826.8,826.8,2756,2756,11024,551.2,826.8,2756
20359,Letea Veche,290000,1035.45,1035.45,3451.5,3451.5,13806,690.3,1035.45,3451.5
20411,Magura,291000,765.75,765.75,2552.5,2552.5,10210,510.5,765.75,2552.5
20466,Margineni,292000,1479.45,1479.45,4931.5,4931.5,19726,986.3,1479.45,4931.5
20563,Municipiul Onesti,293000,7895.85,7895.85,26319.5,26319.5,105278,5263.9,7895.85,26319.5
20607,Gura Vaii,294000,792.9,792.9,2643,2643,10572,528.6,792.9,2643
20670,Stefan Cel Mare,295000,788.55,788.55,2628.5,2628.5,10514,525.7,788.55,2628.5
20778,Oras Buhusi,296000,3125.7,3125.7,10419,10419,41676,2083.8,3125.7,10419
20821,Oras Comanesti,297000,3608.85,3608.85,12029.5,12029.5,48118,2405.9,3608.85,12029.5
20876,Municipiul Moinesti,298000,3707.25,3707.25,12357.5,12357.5,49430,2471.5,3707.25,12357.5
20910,Oras Slanic-Moldova,299000,775.35,775.35,2584.5,2584.5,10338,516.9,775.35,2584.5
20965,Oras Targu Ocna,300000,1970.1,1970.1,6567,6567,26268,1313.4,1970.1,6567
21007,Agas,301000,935.4,935.4,3118,3118,12472,623.6,935.4,3118
21098,Ardeoani,302000,373.95,373.95,1246.5,1246.5,4986,249.3,373.95,1246.5
21123,Asau,303000,1073.1,1073.1,3577,3577,14308,715.4,1073.1,3577
21196,Balcani,304000,1219.05,1219.05,4063.5,4063.5,16254,812.7,1219.05,4063.5
21249,Beresti-Bistrita,305000,336.9,336.9,1123,1123,4492,224.6,336.9,1123
21338,Beresti-Tazlau,306000,861,861,2870,2870,11480,574,861,2870
21418,Berzunti,307000,806.7,806.7,2689,2689,10756,537.8,806.7,2689
21454,Barsanesti,308000,725.7,725.7,2419,2419,9676,483.8,725.7,2419
21506,Blagesti,309000,1147.35,1147.35,3824.5,3824.5,15298,764.9,1147.35,3824.5
21560,Bogdanesti,310000,430.5,430.5,1435,1435,5740,287,430.5,1435
21597,Brusturoasa,311000,526.5,526.5,1755,1755,7020,351,526.5,1755
21668,Buhoci,312000,775.05,775.05,2583.5,2583.5,10334,516.7,775.05,2583.5
21720,Casin,313000,595.5,595.5,1985,1985,7940,397,595.5,1985
21757,Caiuti,314000,813,813,2710,2710,10840,542,813,2710
21855,Cleja,315000,1078.05,1078.05,3593.5,3593.5,14374,718.7,1078.05,3593.5
21891,Colonesti,316000,345.75,345.75,1152.5,1152.5,4610,230.5,345.75,1152.5
21971,Corbasca,317000,837.45,837.45,2791.5,2791.5,11166,558.3,837.45,2791.5
22059,Cotofanesti,318000,543.75,543.75,1812.5,1812.5,7250,362.5,543.75,1812.5
22111,Damienesti,319000,291,291,970,970,3880,194,291,970
22166,Oras Darmanesti,320000,2216.55,2216.55,7388.5,7388.5,29554,1477.7,2216.55,7388.5
22237,Dealu Morii,321000,424.8,424.8,1416,1416,5664,283.2,424.8,1416
22380,Dofteana,322000,1695.9,1695.9,5653,5653,22612,1130.6,1695.9,5653
22460,Faraoani,323000,834.15,834.15,2780.5,2780.5,11122,556.1,834.15,2780.5
22488,Filipeni,324000,341.7,341.7,1139,1139,4556,227.8,341.7,1139
22576,Filipesti,325000,702.15,702.15,2340.5,2340.5,9362,468.1,702.15,2340.5
22665,Gaiceana,326000,434.1,434.1,1447,1447,5788,289.4,434.1,1447
22718,Ghimes-Faget,327000,736.5,736.5,2455,2455,9820,491,736.5,2455
22781,Garleni,328000,1064.7,1064.7,3549,3549,14196,709.8,1064.7,3549
22834,Glavanesti,329000,507.15,507.15,1690.5,1690.5,6762,338.1,507.15,1690.5
22898,Helegiu,330000,1015.05,1015.05,3383.5,3383.5,13534,676.7,1015.05,3383.5
22941,Horgesti,331000,837.9,837.9,2793,2793,11172,558.6,837.9,2793
23047,Huruiesti,332000,365.4,365.4,1218,1218,4872,243.6,365.4,1218
23127,Izvoru Berheciului,333000,253.2,253.2,844,844,3376,168.8,253.2,844
23207,Lipova,334000,477.15,477.15,1590.5,1590.5,6362,318.1,477.15,1590.5
23289,Livezi,335000,839.25,839.25,2797.5,2797.5,11190,559.5,839.25,2797.5
23350,Luizi-Calugara,336000,804.15,804.15,2680.5,2680.5,10722,536.1,804.15,2680.5
23387,Magiresti,337000,654.45,654.45,2181.5,2181.5,8726,436.3,654.45,2181.5
23449,Manastirea Casin,338000,828.3,828.3,2761,2761,11044,552.2,828.3,2761
23494,Motoseni,339000,519.3,519.3,1731,1731,6924,346.2,519.3,1731
23644,Negri,340000,438,438,1460,1460,5840,292,438,1460
23715,Nicolae Balcescu,341000,1512.15,1512.15,5040.5,5040.5,20162,1008.1,1512.15,5040.5
23797,Oituz,342000,1426.35,1426.35,4754.5,4754.5,19018,950.9,1426.35,4754.5
23868,Oncesti,343000,250.65,250.65,835.5,835.5,3342,167.1,250.65,835.5
23948,Orbeni,344000,594.3,594.3,1981,1981,7924,396.2,594.3,1981
23975,Palanca,345000,520.5,520.5,1735,1735,6940,347,520.5,1735
24034,Parava,346000,509.85,509.85,1699.5,1699.5,6798,339.9,509.85,1699.5
24089,Parincea,347000,586.65,586.65,1955.5,1955.5,7822,391.1,586.65,1955.5
24187,Pancesti,348000,664.8,664.8,2216,2216,8864,443.2,664.8,2216
24276,Pargaresti,349000,730.95,730.95,2436.5,2436.5,9746,487.3,730.95,2436.5
24338,Parjol,350000,981.9,981.9,3273,3273,13092,654.6,981.9,3273
24427,Plopana,351000,511.05,511.05,1703.5,1703.5,6814,340.7,511.05,1703.5
