Tara,Cod,Continent
Guatemala,GTM,AmericaN
Guinea,GIN,Africa
Guyana,GUY,AmericaS
Haiti,HTI,AmericaN
Honduras,HND,AmericaN
"Hong Kong SAR, China",HKG,Asia
Hungary,HUN,Europa
Iceland,ISL,Europa
India,IND,Asia
Indonesia,IDN,Asia
Iran,IRN,Asia
Iraq,IRQ,Asia
Ireland,IRL,Europa
Isle of Man,IMN,Europa
Israel,ISR,Asia
Italy,ITA,Europa
Jamaica,JAM,AmericaN
Japan,JPN,Asia
Jordan,JOR,Asia
Kazakhstan,KAZ,Asia
Kenya,KEN,Africa
Kiribati,KIR,Oceania
"Korea, Rep.",KOR,Asia
Kuwait,KWT,Asia
Kyrgyz Republic,KGZ,Asia
Lao PDR,LAO,Asia
Latvia,LVA,Europa
Lebanon,LBN,Asia
Lesotho,LSO,Africa
Libya,LBY,Africa
Liechtenstein,LIE,Europa
Lithuania,LTU,Europa
Luxembourg,LUX,Europa
"Macao SAR, China",MAC,Asia
"Macedonia, FYR",MKD,Europa
Madagascar,MDG,Africa
Malawi,MWI,Africa
Malaysia,MYS,Asia
Maldives,MDV,Asia
Mali,MLI,Africa
Malta,MLT,Europa
Mauritania,MRT,Africa
Mauritius,MUS,Africa
Mexico,MEX,AmericaN
Moldova,MDA,Europa
Monaco,MCO,Europa
Mongolia,MNG,Asia
Montenegro,MNE,Europa
Morocco,MAR,Africa
Mozambique,MOZ,Africa
Myanmar,MMR,Asia
Namibia,NAM,Africa
Nepal,NPL,Asia
Netherlands,NLD,Europa
New Caledonia,NCL,Oceania
New Zealand,NZL,Oceania
Nicaragua,NIC,AmericaN
Niger,NER,Africa
Nigeria,NGA,Africa
Norway,NOR,Europa
Oman,OMN,Africa
Pakistan,PAK,Asia
Palau,PLW,Oceania
Panama,PAN,AmericaN
Papua New Guinea,PNG,Oceania
Paraguay,PRY,AmericaS
Peru,PER,AmericaS
Philippines,PHL,Asia
Poland,POL,Europa
Portugal,PRT,Europa
Puerto Rico,PRI,AmericaN
Qatar,QAT,Asia
Romania,ROU,Europa
Russian Federation,RUS,Europa
Rwanda,RWA,Africa
Samoa,WSM,Oceania
San Marino,SMR,Europa
Sao Tome and Principe,STP,Africa
Saudi Arabia,SAU,Asia
Senegal,SEN,Africa
Serbia,SRB,Europa
Seychelles,SYC,Africa
Sierra Leone,SLE,Africa
Singapore,SGP,Asia
Slovak Republic,SVK,Europa
Slovenia,SVN,Europa
Somalia,SOM,Africa
South Africa,ZAF,Africa
South Sudan,SSD,Africa
Spain,ESP,Europa
Sri Lanka,LKA,Asia
St. Kitts and Nevis,KNA,AmericaN
St. Lucia,LCA,AmericaN
St. Vincent and the Grenadines,VCT,AmericaN
Sudan,SDN,Africa
Suriname,SUR,AmericaS
Swaziland,SWZ,Africa
Sweden,SWE,Europa
Switzerland,CHE,Europa
Syria,SYR,Asia
Tajikistan,TJK,Asia
Tanzania,TZA,Africa
Thailand,THA,Asia
Togo,TGO,Africa
Tonga,TON,Oceania
Trinidad and Tobago,TTO,AmericaS
Tunisia,TUN,Africa
Turkey,TUR,Europa
Turkmenistan,TKM,Asia
Uganda,UGA,Africa
Ukraine,UKR,Europa
United Arab Emirates,ARE,Asia
United Kingdom,GBR,Europa
United States,USA,AmericaN
Uruguay,URY,AmericaS
Uzbekistan,UZB,Asia
Vanuatu,VUT,Oceania
"Venezuela, RB",VEN,AmericaS
Vietnam,VNM,Asia
Virgin Islands (U.S.),VIR,AmericaN
"Yemen, Rep.",YEM,Asia
Zambia,ZMB,Africa
